country,weight,ai_heard,ai_cncexc,aireg_us,aireg_china,aireg_eu,aireg_country
2,0.528421848116766,2,2,4,4,3,2
2,0.602084481164341,2,2,4,4,3,3
2,2.48127239251815,1,1,1,1,1,1
2,0.74043640384299,2,3,8,8,8,8
2,0.573143697077929,2,2,8,8,8,1
2,1.07839150663621,2,3,8,8,8,8
2,0.448536726227482,2,3,2,3,2,2
2,1.7554993188898,1,3,3,2,2,2
2,1.80225651672684,2,3,4,4,3,2
2,0.509087104779528,2,2,8,8,8,8
2,0.91864645259109,3,2,8,8,8,8
2,2.48127239251815,1,3,2,2,2,2
2,0.448536726227482,1,2,2,3,1,2
2,1.11876495532303,1,2,4,3,2,1
2,1.53448582668254,2,2,4,4,2,2
2,2.47195540743862,1,3,4,3,2,2
2,1.43680302905212,2,2,3,2,2,8
2,0.697997669121228,1,3,2,4,4,4
2,0.526259309172336,2,2,3,3,3,3
2,0.75522577406758,2,2,4,4,4,8
2,0.35525298878815,1,2,3,3,3,3
2,0.75522577406758,2,1,2,2,2,2
2,1.7082594479797,1,1,3,8,8,1
2,1.80225651672684,3,2,2,2,8,1
2,0.448536726227482,1,3,2,4,2,2
2,1.11876495532303,1,3,4,4,2,2
2,0.448536726227482,1,2,4,8,2,2
2,1.32054162363121,2,3,2,4,4,8
2,0.31014263107127,2,3,2,4,1,1
2,1.11876495532303,3,2,2,4,2,8
2,0.31014263107127,2,3,2,4,2,2
2,0.718923848428315,2,2,2,2,2,2
2,2.12730541430949,1,3,8,8,8,8
2,0.62013515435172,2,2,4,4,2,2
2,0.697997669121228,1,2,2,4,2,2
2,0.359891037021609,2,3,2,4,2,2
2,1.44607103244166,2,3,4,4,2,8
2,1.0914181199938,2,2,8,8,8,8
2,0.31014263107127,2,2,4,3,2,2
2,0.359891037021609,1,2,1,4,4,1
2,0.404837328545691,2,3,8,4,2,2
2,0.576840722779992,1,2,4,4,2,4
2,0.902203993095731,2,3,2,8,2,2
2,0.560050248485791,2,3,2,2,2,2
2,0.677506410947091,2,3,2,9,2,2
2,0.646911328658502,1,3,2,4,2,1
2,1.7212724141482,2,2,2,4,4,4
2,2.07225875205873,2,2,1,4,8,2
2,0.89766000510388,2,3,3,4,2,2
2,2.48127239251815,2,3,4,4,2,9
2,0.31014263107127,1,3,3,4,2,2
2,0.42269637907921,1,2,2,4,4,4
2,1.14703689566615,2,2,2,4,3,3
2,2.15777731696901,1,2,8,4,8,2
